deviceid,angle,humidity,date,rpm,temperature,winddirection,windspeed
WindTurbine-8,6.098095771,70.06787294,31-Jul-19,7.566095771,27.00304801,NW,7.006787294
WindTurbine-8,6.183558012,71.04984463,1-Jan-20,7.672131412,27.38148434,S,7.104984463
WindTurbine-8,6.170734371,70.90249942,30-Mar-20,7.656220726,27.32469983,E,7.090249942
WindTurbine-8,5.726191539,65.79464742,22-Jul-19,7.104662704,25.35621461,NE,6.579464742
WindTurbine-8,5.904791437,67.84678228,24-Aug-19,7.326257113,26.14707486,N,6.784678228
WindTurbine-8,6.086528283,69.93496107,12-May-20,7.551743631,26.95182588,NW,6.993496107
WindTurbine-8,5.637896101,64.78012194,19-Jan-20,6.995111827,24.96523256,NE,6.478012194
WindTurbine-8,6.010461341,69.06094252,15-Mar-20,7.457365026,26.61499298,NW,6.906094252
WindTurbine-8,5.908088335,67.88466405,8-Sep-19,7.330347676,26.1616739,NE,6.788466405
WindTurbine-8,5.906282483,67.86391459,5-Mar-20,7.3281071,26.15367738,E,6.786391459
WindTurbine-8,5.612368184,64.48680302,14-Apr-20,6.963438551,24.8521921,SE,6.448680302
WindTurbine-8,5.897855135,67.76708332,28-Apr-20,7.317651029,26.11636015,SW,6.776708332
WindTurbine-8,5.746405058,66.02690325,15-Jan-20,7.129742241,25.44572232,SE,6.602690325
WindTurbine-8,6.272294642,72.06943947,28-Dec-19,7.782229691,27.77442004,NW,7.206943947
WindTurbine-8,6.305503626,72.45101478,29-Dec-19,7.823433102,27.92147312,S,7.245101478
WindTurbine-8,5.363871928,61.63155037,22-Oct-19,6.655121571,23.75182297,N,6.163155037
WindTurbine-8,5.978961076,68.6990006,29-Nov-19,7.418281676,26.4755063,N,6.86990006
WindTurbine-8,6.087098648,69.94151464,1-Feb-20,7.552451301,26.95435153,N,6.994151464
WindTurbine-8,5.781935254,66.43514958,17-Feb-20,7.173825653,25.60305399,S,6.643514958
WindTurbine-8,6.526538431,74.99073198,25-Jun-19,8.097677812,28.90023988,W,7.499073198
WindTurbine-8,5.958257129,68.46110969,30-Apr-20,7.392593649,26.38382691,E,6.846110969
WindTurbine-8,5.873833598,67.4910729,7-Aug-19,7.287846766,26.0099901,E,6.74910729
WindTurbine-8,5.966842669,68.5597586,22-Nov-19,7.403245994,26.42184464,E,6.85597586
WindTurbine-8,5.971829205,68.61705451,13-Dec-19,7.409432942,26.44392558,NW,6.861705451
WindTurbine-8,5.798398977,66.62431979,18-Dec-19,7.194252702,25.67595719,W,6.662431979
WindTurbine-8,5.928798963,68.12263172,23-Feb-20,7.356043992,26.25338287,NW,6.812263172
WindTurbine-8,6.009403923,69.04879266,26-Apr-20,7.456053056,26.61031062,W,6.904879266
WindTurbine-8,5.926150078,68.09219571,7-Jan-20,7.352757439,26.24165331,W,6.809219571
WindTurbine-8,5.901023687,67.80349037,13-May-20,7.321582349,26.13039085,W,6.780349037
WindTurbine-8,5.810143997,66.75927152,27-Nov-19,7.20882511,25.72796545,W,6.675927152
WindTurbine-8,6.559655647,75.37125287,20-Dec-19,8.138767365,29.04688661,S,7.537125287
WindTurbine-8,5.618757232,64.56021397,14-Sep-19,6.97136564,24.88048351,SW,6.456021397
WindTurbine-8,5.970579946,68.60270038,2-Mar-20,7.407882949,26.43839372,NW,6.860270038
WindTurbine-8,6.019134492,69.1605981,9-Jul-19,7.468126073,26.65339866,SE,6.91605981
WindTurbine-8,5.903118954,67.82756525,8-Nov-19,7.324182012,26.13966892,W,6.782756525
WindTurbine-8,6.184496524,71.06062825,5-Apr-20,7.673295853,27.38564018,NW,7.106062825
WindTurbine-8,5.895255196,67.7372097,18-May-20,7.314425205,26.10484733,SW,6.77372097
WindTurbine-8,6.293312103,72.31093269,3-Oct-19,7.808306704,27.8674877,W,7.231093269
WindTurbine-8,6.425112015,73.82532994,2-Jul-19,7.971834925,28.4511124,SE,7.382532994
WindTurbine-8,6.243552798,71.73919213,28-Jan-20,7.746568797,27.64714795,E,7.173919213
WindTurbine-8,6.221160581,71.4819028,8-Aug-19,7.718786082,27.54799271,NW,7.14819028
WindTurbine-8,6.249890542,71.81201359,26-Sep-19,7.754432231,27.67521218,SW,7.181201359
WindTurbine-8,5.715573552,65.67264544,11-Dec-19,7.09148864,25.30919698,N,6.567264544
WindTurbine-8,6.363320039,73.1153325,23-Jun-19,7.895167711,28.17749064,NE,7.31153325
WindTurbine-8,6.360089376,73.07821178,30-Jun-19,7.891159328,28.1631849,N,7.307821178
WindTurbine-8,5.952245441,68.39203465,9-Sep-19,7.385134762,26.35720649,S,6.839203465
WindTurbine-8,5.746464081,66.02758143,15-Dec-19,7.129815473,25.44598368,S,6.602758143
WindTurbine-8,5.997282761,68.90951901,20-Aug-19,7.441013955,26.55663676,SW,6.890951901
WindTurbine-8,5.976621315,68.67211644,31-Oct-19,7.415378661,26.46514557,SE,6.867211644
WindTurbine-8,5.939131273,68.24135124,4-Jun-20,7.368863608,26.29913549,SE,6.824135124
WindTurbine-8,5.837796185,67.07699857,22-Aug-19,7.243134034,25.85041242,W,6.707699857
WindTurbine-8,6.042746528,69.4319033,7-Nov-19,7.497422255,26.75795539,NE,6.94319033
WindTurbine-8,6.067628186,69.71779662,4-Apr-20,7.528293697,26.86813415,SE,6.971779662
WindTurbine-8,5.887364778,67.64654783,18-Mar-20,7.30463532,26.06990768,SW,6.764654783
WindTurbine-8,5.815732981,66.82348964,19-Apr-20,7.215759536,25.75271409,NW,6.682348964
WindTurbine-8,6.287557784,72.24481485,24-May-20,7.801167143,27.84200693,SE,7.224481485
WindTurbine-8,6.353669525,73.00444691,1-Jul-19,7.883194021,28.13475709,SW,7.300444691
WindTurbine-8,5.975287366,68.65678921,6-Feb-20,7.413723589,26.4592387,S,6.865678921
WindTurbine-8,5.894824216,67.73225768,22-Feb-20,7.313890474,26.1029389,S,6.773225768
WindTurbine-8,6.388816764,73.40829302,17-Jun-20,7.926802286,28.29039298,N,7.340829302
WindTurbine-8,5.635632513,64.75411303,15-Sep-19,6.992303323,24.95520914,N,6.475411303
WindTurbine-8,5.996843622,68.90447325,14-May-20,7.440469102,26.55469221,W,6.890447325
WindTurbine-8,5.984558649,68.76331739,14-Jul-19,7.425226756,26.50029297,W,6.876331739
WindTurbine-8,5.884641444,67.61525638,1-Dec-19,7.301256395,26.05784845,N,6.761525638
WindTurbine-8,5.973192846,68.63272292,9-Aug-19,7.411124854,26.44996393,SW,6.863272292
WindTurbine-8,5.868489285,67.42966608,9-Nov-19,7.281215911,25.98632489,N,6.742966608
WindTurbine-8,5.979660666,68.70703897,19-Sep-19,7.419149678,26.47860416,S,6.870703897
WindTurbine-8,5.910279197,67.90983732,15-Nov-19,7.333065946,26.17137528,E,6.790983732
WindTurbine-8,6.337812298,72.82224541,31-Mar-20,7.863519469,28.06453952,SE,7.282224541
WindTurbine-8,5.880783353,67.57092644,25-Apr-20,7.296469542,26.04076439,E,6.757092644
WindTurbine-8,5.803572285,66.68376174,5-Jun-20,7.200671385,25.69886518,S,6.668376174
WindTurbine-8,5.83945271,67.09603225,18-Nov-19,7.245189336,25.8577477,NE,6.709603225
WindTurbine-8,5.932963846,68.17048674,29-Feb-20,7.361211491,26.27182543,SE,6.817048674
WindTurbine-8,5.779837219,66.4110429,11-Apr-20,7.171222555,25.59376366,E,6.64110429
WindTurbine-8,6.128329239,70.41525922,11-May-20,7.603607369,27.13692518,N,7.041525922
WindTurbine-8,5.800173321,66.64470722,10-Dec-19,7.196454185,25.68381418,SW,6.664470722
WindTurbine-8,5.970164513,68.597927,20-Sep-19,7.407367508,26.43655414,N,6.8597927
WindTurbine-8,5.703212329,65.53061346,23-Jul-19,7.076151688,25.2544601,NE,6.553061346
WindTurbine-8,5.975290482,68.65682502,10-Sep-19,7.413727456,26.4592525,E,6.865682502
